Scientific Name,Common Name,PISC Priority Score,PA Noxious Weed Rank,Invasive Assessment Score,Aquatic or Terrestrial,PLNA Economic Importance Score,DCNR Rank,EDRR
Ligustrum obtusifolium,Border Privet,4.3,B,77.0,Terrestrial,3.2,2,No
Ligustrum japonicum,Japanese Privet,4.7,A,64.0,Terrestrial,3.5,2,No
Lespedeza cuneata,Chinese Bushclover,2.8,,74.0,Terrestrial,0.9,2,No
Lespedeza bicolor,Shrubby Bushclover,2.1,,63.0,Terrestrial,1.5,2,No
Koelreuteria paniculata,Golden Rain-Tree,2.8,,54.0,Terrestrial,4.8,Watch,Yes
Iris pseudacorus,Yellow Flag Iris,4.1,,76.0,Aquatic,4.5,2,No
Imperata cylindrica,Cogon Grass,3.4,,79.0,Terrestrial,1.3,Watch,Yes
Impatiens glandulifera,Policeman's helmet,2.6,,67.0,Aquatic/Terrestrial,,,Yes
Hydrocharis morsus-ranae,Common Frogbit,4.4,A,86.0,Aquatic,0.3,Watch,Yes
Hydrilla verticillata,Hydrilla,7.4,A,91.0,Aquatic,,1,No
Humulus japonicus,Japanese Hops,5.3,B,74.0,Terrestrial,1.0,1,No
Holcus lanatus,Velvet Grass,1.4,,66.0,Terrestrial,0.1,3,No
Hesperis matronalis,Dames Rocket,3.2,,57.0,Terrestrial,0.8,2,No
Heracleum mantegazzianum,Giant hogweed,8.6,A,72.0,Terrestrial,,1,Yes
Hemerocallis fulva,Orange Day-Lily,3.1,,46.0,Terrestrial,4.8,3,No
Hedera helix,English Ivy,4.2,,66.0,Terrestrial,6.2,3,No
Glyceria maxima,Reed mannagrass,2.1,,80.0,Aquatic,,,Yes
Galega officinalis,Goatsrue,6.0,A,60.0,Terrestrial,,1,Yes
Frangula alnus,Glossy Buckthorn,6.0,B,73.0,Terrestrial,1.5,1,No
Ficaria verna,Lesser Celandine,3.5,B,86.0,Terrestrial,0.3,1,No
Fallopia X bohemica,Hybrid Knotweed,6.6,B,98.0,Terrestrial,0.3,1,No
Fallopia sachalinensis,Giant Knotweed,7.2,B,98.0,Terrestrial,0.1,1,No
reynoutria japonica,Japanese Knotweed,8.0,B,98.0,Terrestrial,0.3,1,No
Euonymus fortunei,Wintercreeper,3.3,,78.0,Terrestrial,4.4,2,No
Euonymus alatus,Winged Euonymus or Burning Bush,4.6,B,81.0,Terrestrial,4.0,2,No
Epilobium parviflorum,Smallflower Hairy Willow-Herb,1.6,,,Aquatic/Terrestrial,0.1,3,No
Epilobium hirsutum,Hairy Willow Herb,1.8,,63.0,Terrestrial,0.3,3,No
Elaeagnus umbellata,Autumn Olive,6.4,,94.0,Terrestrial,1.4,2,No
Elaeagnus angustifolia,Russian Olive,6.6,,68.0,Terrestrial,1.5,2,No
Egeria densa,Brazilian Water-Weed,4.7,A,75.0,Aquatic,0.1,3,No
Dioscorea polystacha,Chinese Yam,2.1,,78.0,Terrestrial,0.6,Watch,Yes
Cuscuta spp (except for native species),Dodder,2.8,A,,Aquatic,,,No
Crassula helmsii,Swamp stonecrop,2.0,,80.0,Aquatic,,,Yes
Conium maculatum,Poison Hemlock,7.3,B,74.0,Terrestrial,,1,No
Clematis terniflora,Japanese Clematis,3.5,,73.0,Terrestrial,4.1,Watch,No
Cirsium vulgare,Bull Thistle,4.4,B,,Terrestrial,,2,No
Cirsium palustre,Marsh thistle,3.3,,68.0,Aquatic,,,Yes
Cirsium arvense,Canada Thistle,5.1,B,71.0,Terrestrial,,2,No
Chelidonium majus,Greater Celandine,3.4,,52.0,Terrestrial,,2,No
Centaurea stoebe,Spotted Knapweed,3.6,,79.0,Terrestrial,0.4,2,No
Centaurea nigra,Black Knapweed,2.8,,62.0,Terrestrial,0.1,2,No
Centaurea jacea,Brown Knapweed,2.3,,62.0,Terrestrial,0.3,2,No
Centaurea diffusa,Diffuse knapweed,4.1,,59.0,Terrestrial,0.3,,No
Celastrus orbiculatus,Oriental Bittersweet,7.3,B,87.0,Terrestrial,1.3,1,No
Carex kobomugi,Asiatic sand sedge,2.5,,69.0,Terrestrial,0.5,,Yes
Carduus nutans,Nodding Thistle,2.7,B,91.0,Terrestrial,0.4,3,No
Carduus acanthoides,Spiny Plumeless Thistle,2.4,,,Terrestrial,,3,No
Cardamine impatiens,Narrowleaf Bittercress,1.6,,76.0,Terrestrial,,3,No
Cabomba caroliniana,Carolina Fanwort,3.3,,72.0,Aquatic,0.5,3,Yes
Butomus umbellatus,Flowering Rush,3.6,,64.0,Aquatic,0.9,3,Yes
Buddleja davidii,Butterfly Bush,3.9,,45.0,Terrestrial,6.4,2,No
Broussonetia papyrifera,Paper Mulberry,1.6,,,Terrestrial,0.5,3,No
Bromus tectorum,Cheatgrass,3.3,,50.0,Terrestrial,0.3,3,No
Bromus sterilis,Poverty Brome,1.5,,,Terrestrial,0.3,3,No
Bromus japonicus,Japanese brome,2.0,,,Terrestrial,0.6,3,No
Berberis vulgaris,European Barberry,6.1,,69.0,Terrestrial,2.3,1,No
Berberis thunbergii (seeded varieties),Japanese Barberry,7.8,B,91.0,Terrestrial,3.7,1,No
Avena sterilis,Animated Oat,2.1,A,,Terrestrial,,,No
Arundo donax,Giant Reed,4.0,,77.0,Terrestrial,1.3,Watch,Yes
Arthraxon hispidus,Small carpetgrass,3.1,,76.0,Terrestrial,0.1,2,No
Artemisia vulgaris,Mugwort,4.3,B,79.0,Terrestrial,0.8,3,No
Aralia elata,Japanese Angelica Tree,5.5,B,80.0,Terrestrial,1.0,1,Yes
Anthriscus sylvestris,Wild Chervil,1.3,A,79.0,Terrestrial,0.3,3,No
Ampelopsis glandulosa,Porcelain Berry,4.5,,71.0,Terrestrial,0.9,1,No
Amaranthus tuberculatus, Tall Waterhemp,4.6,A,,Aquatic,,,Yes
Amaranthus rudis,Waterhemp,5.3,A,,Aquatic,,,No
Amaranthus palmeri,Palmer Amaranth,4.8,A,,Terrestrial,,1,Yes
Alternanthera philoxeroides,Alligatorweed,2.9,,67.0,Aquatic,,,Yes
Alnus glutinosa,European Black Alder,3.1,,66.0,Terrestrial,0.9,2,No
Alliaria petiolata,Garlic Mustard,6.1,B,84.0,Terrestrial,0.6,1,No
Albizia julibrissin,Mimosa,3.1,,40.0,Terrestrial,2.0,2,No
Akebia quinata,Chocolate Vine,3.3,A,52.0,Terrestrial,1.2,Watch,Yes
Ailanthus altissima,Tree-of-Heaven,9.1,B,68.0,Terrestrial,0.5,1,No
Aegopodium podagraria,Goutweed,2.8,,64.0,Terrestrial,0.8,3,No
Actinidia arguta,Hardy kiwi vine,2.7,,70.0,Terrestrial,,,Yes
Acer platanoides,Norway Maple,4.2,,82.0,Terrestrial,3.5,2,No
Acer palmatum,Japanese Maple,3.1,,50.0,Terrestrial,8.1,Watch,No
Acer ginnala,Amur Maple,3.1,,66.0,Terrestrial,4.8,Watch,Yes
